<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VCB,20210125,78270.6162806664,79741.57741749397,78270.6162806664,79354.48238148671,745900
VCB,20210122,79741.57741749397,80515.76748950848,78967.38734547947,79741.57741749397,1876400
VCB,20210121,76722.23613663741,79741.57741749397,75870.62705742144,79741.57741749397,1320700
VCB,20210120,76644.81712943595,81986.72862633603,75870.62705742144,76722.23613663741,2093000
VCB,20210119,79818.99642469542,79973.83443909833,74399.66592059389,76644.81712943595,2401120
VCB,20210118,80128.67245350122,81289.95756152298,79741.57741749397,79973.83443909833,1112400
VCB,20210115,81135.11954712008,81212.53855432152,79354.48238148671,79896.41543189686,1202600
VCB,20210114,81289.95756152298,81444.79557592588,79973.83443909833,80438.34848230702,932200
VCB,20210113,81754.47160473168,82141.56664073894,80515.76748950848,81135.11954712008,1338200
VCB,20210112,81754.47160473168,81754.47160473168,80670.60550391137,81754.47160473168,842950
VCB,20210111,80980.28153271718,81831.89061193314,80593.18649670992,80902.86252551572,847400
VCB,20210108,83612.52777756649,83612.52777756649,80902.86252551572,81135.11954712008,1000900
VCB,20210107,80515.76748950848,83999.62281357375,80515.76748950848,82838.337705552,1199800
VCB,20210106,77031.91216544321,82218.98564794038,76877.0741510403,81289.95756152298,2080400
VCB,20210105,76644.81712943595,77883.52124465916,76644.81712943595,76877.0741510403,1096230
VCB,20210104,75870.62705742144,77264.16918704756,75328.69400701129,76644.81712943595,907900
VCB,20201231,75793.20805022,76644.81712943595,75096.43698540694,75793.20805022,367140
VCB,20201230,76799.65514383886,77109.33117264466,75483.5320214142,75793.20805022,709200
VCB,20201229,75870.62705742144,77264.16918704756,75715.78904301855,76799.65514383886,696510
VCB,20201228,75870.62705742144,76025.46507182435,75328.69400701129,75870.62705742144,836090
VCB,20201225,75096.43698540694,75560.95102861564,74864.1799638026,75560.95102861564,383960
VCB,20201224,75793.20805022,75793.20805022,74322.24691339243,75328.69400701129,971730
VCB,20201223,75483.5320214142,76257.7220934287,75019.01797820549,75483.5320214142,666390
VCB,20201222,75870.62705742144,75948.0460646229,75483.5320214142,75793.20805022,817840
VCB,20201221,76567.3981222345,76644.81712943595,75328.69400701129,76567.3981222345,737030
VCB,20201218,73721.05583877844,75948.04606724154,73721.05583877844,75948.04606724154,1053200
