,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
735,VCB,20200701,61664.59149847822,63507.61789444768,61434.213198982034,63507.61789444768,478440
736,VCB,20200630,63354.03236145023,63354.03236145023,61434.213198982034,61664.59149847822,974990
737,VCB,20200629,63968.374493440046,63968.374493440046,62278.93363046804,62586.10469646295,936380
738,VCB,20200626,64582.716625429865,65043.47322442223,63737.996193943865,63968.374493440046,1030930
739,VCB,20200625,63507.61789444768,64813.094924926045,63507.61789444768,64275.54555943496,546650
740,VCB,20200624,66041.77918890568,66041.77918890568,64582.716625429865,65043.47322442223,740160
741,VCB,20200623,65657.81535641204,66809.70685389296,65504.22982341459,66041.77918890568,957230
742,VCB,20200622,65273.85152391841,65734.60812291078,65273.85152391841,65657.81535641204,1381090
743,VCB,20200619,65273.85152391841,66041.77918890568,65273.85152391841,65581.02258991332,1280970
744,VCB,20200618,64505.923858931135,66425.74302139932,64429.13109243241,65273.85152391841,1949780
745,VCB,20200617,65273.85152391841,65427.43705691587,64352.33832593368,64659.509391928594,1241750
746,VCB,20200616,64505.923858931135,64505.923858931135,63277.2395949515,64275.54555943496,802980
747,VCB,20200615,65734.60812291078,65888.19365590824,62816.48299595913,62970.06852895659,1218540
748,VCB,20200612,63354.03236145023,66425.74302139932,63354.03236145023,65734.60812291078,1612920
749,VCB,20200611,68729.52601636115,68806.31878285987,66809.70685389296,67577.63451888024,1183900
750,VCB,20200610,68729.52601636115,68959.90431585733,68575.9404833637,68806.31878285987,3363590
751,VCB,20200609,69036.69708235607,69113.48984885479,68652.73324986243,68729.52601636115,417690
752,VCB,20200608,68345.56218386751,69267.07538185225,67884.80558487515,68652.73324986243,1222240
753,VCB,20200605,68422.35495036624,68575.9404833637,66809.70685389296,68345.56218386751,849570
754,VCB,20200604,67577.63451888024,68345.56218386751,67577.63451888024,68345.56218386751,736380
755,VCB,20200603,66809.70685389296,67500.84175238152,66732.91408739424,67500.84175238152,502750
756,VCB,20200602,66732.91408739424,66732.91408739424,66272.15748840188,66502.53578789806,1144040
757,VCB,20200601,65657.81535641204,66579.32855439678,65657.81535641204,66425.74302139932,925710
758,VCB,20200529,65273.85152391841,66041.77918890568,64889.88769142477,65427.43705691587,1161180
759,VCB,20200528,63737.996193943865,65350.64429041714,63737.996193943865,64889.88769142477,2318310
760,VCB,20200527,63737.996193943865,64813.094924926045,63661.203427445136,63661.203427445136,817770
761,VCB,20200526,62202.14086396931,63430.82512794895,62202.14086396931,63354.03236145023,939390
762,VCB,20200525,62125.34809747058,62432.51916346549,62048.55533097186,62278.93363046804,817710
763,VCB,20200522,62355.72639696677,62432.51916346549,61434.213198982034,62202.14086396931,1646320
764,VCB,20200521,61434.213198982034,62355.72639696677,61127.04213298712,62355.72639696677,1579620
765,VCB,20200520,60205.5289350024,61203.83489948585,60205.5289350024,61127.04213298712,756200
766,VCB,20200519,61357.42043248331,61511.00596548076,60512.700000997305,60666.28553399477,1712270
767,VCB,20200518,58592.88083852912,60666.28553399477,58208.91700603548,60282.321701501125,1145200
768,VCB,20200515,58669.67360502784,58746.46637152657,58055.33147303802,58362.50253903293,1702240
769,VCB,20200514,57594.57487404566,58669.67360502784,57517.78210754693,58362.50253903293,2218070
770,VCB,20200513,58055.33147303802,58746.46637152657,55290.79187908383,58055.33147303802,1851970
771,VCB,20200512,57287.403808050745,58362.50253903293,57133.818275053294,58055.33147303802,2305500
772,VCB,20200511,56442.683376564746,57210.61104155202,55674.75571157747,57210.61104155202,1749160
773,VCB,20200508,53754.93654910928,56980.23274205584,53601.35101611183,56442.683376564746,4065590
774,VCB,20200507,52065.49568613728,53524.558249613096,51988.70291963855,53524.558249613096,2389540
775,VCB,20200506,51681.53185364364,51988.70291963855,51067.18972165382,51911.91015313982,1182770
776,VCB,20200505,51681.53185364364,51988.70291963855,51297.56802115,51297.56802115,1007640
777,VCB,20200504,52219.08121913473,52295.87398563346,51297.56802115,51758.32462014237,908260
778,VCB,20200429,51451.15355414746,52295.87398563346,51451.15355414746,52219.08121913473,1629760
779,VCB,20200428,51297.56802115,52603.04505162837,50068.88375717036,51451.15355414746,2052860
780,VCB,20200427,53678.14378261056,53678.14378261056,51297.56802115,51297.56802115,2603060
781,VCB,20200424,53140.59441711946,53447.76548311437,51835.11738664109,52910.21611762328,1227270
782,VCB,20200423,54522.86421409656,54522.86421409656,52833.42335112455,53140.59441711946,1201610
783,VCB,20200422,52987.008884122006,54599.65698059528,52987.008884122006,53217.387183618186,1668290
784,VCB,20200421,54522.86421409656,54906.82804659019,52065.49568613728,54906.82804659019,2212110
785,VCB,20200420,55060.41357958765,55597.96294507874,54369.2786810991,55213.99911258511,1456030
786,VCB,20200417,54906.82804659019,55137.20634608638,54446.07144759783,54830.03528009147,1829140
787,VCB,20200416,53754.93654910928,54676.44974709401,53601.35101611183,54676.44974709401,1110050
